nom,SIREN,COG,type,population,tranche_pop,adresse_courriel,telephone,site_internet
Bâgé-le-Châtel,210100269,01026,COM,971,hab < 1000,mairie@bage-le-chatel.fr,03 85 36 38 29,http://www.bagelechatel.fr
Balan,210100277,01027,COM,2920,1000 ≤ hab < 3500,infos@ville-balan.fr,04 78 06 19 24,http://www.ville-balan.fr
Baneins,210100285,01028,COM,606,hab < 1000,communebaneins@wanadoo.fr,04 74 55 24 75,http://www.mairie-baneins.fr
Beaupont,210100293,01029,COM,694,hab < 1000,mairie@beaupont.fr,04 74 51 21 62,http://www.beaupont.fr
Beauregard,210100301,01030,COM,908,hab < 1000,contact@mairie-beauregard.fr,04 74 60 92 55,http://www.mairie-beauregard.fr
Bellignat,210100319,01031,COM,3852,3500 ≤ hab < 10.000,marie-helene.perrin@bellignat.fr,04 74 77 60 32,http://www.bellignat.fr
Béligneux,210100327,01032,COM,3345,1000 ≤ hab < 3500,mairie@ville-beligneux.fr,04 72 25 30 70,http://www.ville-beligneux.fr
Valserhône,200083863,01033,COM,16701,10.000 ≤ hab < 100.000,mairie@valserhone.fr,04 50 56 60 60,http://www.valserhone.fr
Belley,210100343,01034,COM,9542,3500 ≤ hab < 10.000,mairie@belley.fr,04 79 42 23 00,http://www.belley.fr
Belleydoux,210100350,01035,COM,326,hab < 1000,mairie@belleydoux.fr,04 74 76 49 32,http://www.belleydoux.fr
Valromey-sur-Séran,200086411,01036,COM,1315,1000 ≤ hab < 3500,mairie.valromeysurseran@orange.fr,04 79 87 33 57,http://www.valromey-sur-seran.fr
Bénonces,210100376,01037,COM,298,hab < 1000,mairie@benonces.com,04 74 36 70 76,http://www.benonces.com
Bény,210100384,01038,COM,783,hab < 1000,mairie@beny01.fr,04 74 51 00 49,http://www.mairie-beny.fr
Béon,210100392,01039,COM,472,hab < 1000,beon.mairie@wanadoo.fr,04 79 87 04 33,http://www.beon-ain.fr
Béréziat,210100400,01040,COM,501,hab < 1000,,,
Bettant,210100418,01041,COM,771,hab < 1000,,,
Bey,210100426,01042,COM,290,hab < 1000,mairie.bey@free.fr,04 74 04 00 27,http://www.bey01.fr
Beynost,210100434,01043,COM,4674,3500 ≤ hab < 10.000,accueil@ville-beynost.fr,04 78 55 83 40,http://www.beynost.fr
Billiat,210100442,01044,COM,626,hab < 1000,,,
Birieux,210100459,01045,COM,289,hab < 1000,,,
Biziat,210100467,01046,COM,866,hab < 1000,mairiedebiziat@gmail.com,04 74 50 03 08,http://www.biziat.fr
Blyes,210100475,01047,COM,1017,1000 ≤ hab < 3500,mairie.de.blyes@orange.fr,04 74 61 53 14,http://www.blyes.fr
La Boisse,210100491,01049,COM,3074,1000 ≤ hab < 3500,mairie@mairie-la-boisse.fr,04 78 06 22 18,http://www.ville-laboisse.fr
Boissey,210100509,01050,COM,345,hab < 1000,,,
Bolozon,210100517,01051,COM,90,hab < 1000,,,
Bouligneux,210100525,01052,COM,325,hab < 1000,,,
Bourg-en-Bresse,210100533,01053,COM,43454,10.000 ≤ hab < 100.000,courrier@bourgenbresse.fr,04 74 45 71 99,http://www.bourgenbresse.fr
Bourg-Saint-Christophe,210100541,01054,COM,1353,1000 ≤ hab < 3500,bscmairie@orange.fr,04 74 61 01 66,http://www.bourg-saint-christophe.fr
Boyeux-Saint-Jérôme,210100566,01056,COM,360,hab < 1000,maire@boyeuxsaintjerome.fr,04 74 36 82 90,http://www.boyeuxsaintjerome.fr
Boz,210100574,01057,COM,525,hab < 1000,mairie@communeboz.fr,03 85 30 33 63,http://www.communeboz.fr
Brégnier-Cordon,210100582,01058,COM,868,hab < 1000,mairie@bregnier-cordon.fr,04 79 87 21 15,http://www.bregnier-cordon.fr
Brénod,210100608,01060,COM,544,hab < 1000,contact@brenod.com,04 74 36 01 02,http://www.brenod.com
Brens,210100616,01061,COM,1196,1000 ≤ hab < 3500,mairie.brens@wanadoo.fr,04 79 81 91 27,http://www.brens01300.fr
Bressolles,210100624,01062,COM,912,hab < 1000,mairiebressolles@hotmail.com,04 78 06 16 14,http://www.ville-bressolles.fr
Brion,210100632,01063,COM,523,hab < 1000,mairie@brion01.fr,04 74 76 19 24,https://www.brion01.fr
Briord,210100640,01064,COM,1004,1000 ≤ hab < 3500,briord.commune@orange.fr,04 74 36 72 06,http://www.briord.fr
Buellas,210100657,01065,COM,1814,1000 ≤ hab < 3500,accueil@buellas.fr,04 74 24 20 38,http://www.buellas.fr
La Burbanche,210100665,01066,COM,71,hab < 1000,,,
Ceignes,210100673,01067,COM,264,hab < 1000,,,
Cerdon,210100681,01068,COM,798,hab < 1000,,,
Certines,210100699,01069,COM,1573,1000 ≤ hab < 3500,mairie@certines.fr,04 74 51 60 30,https://certines.grandbourg.fr
Cessy,210100715,01071,COM,4955,3500 ≤ hab < 10.000,mairie-cessy@mairie-cessy.fr,04 50 41 56 46,http://www.mairie-cessy.fr
Ceyzériat,210100723,01072,COM,3203,1000 ≤ hab < 3500,commune.ceyzeriat@orange.fr,04 74 25 09 09,http://www.ceyzeriat.fr
Ceyzérieu,210100731,01073,COM,1038,1000 ≤ hab < 3500,mairie@ceyzerieu.fr,04 79 87 90 11,http://www.ceyzerieu.fr
Chalamont,210100749,01074,COM,2438,1000 ≤ hab < 3500,contact@mairie-chalamont.fr,04 74 46 99 60,http://www.mairie-chalamont.fr
Chaleins,210100756,01075,COM,1329,1000 ≤ hab < 3500,mairiechaleins01@gmail.com,04 74 67 83 07,https://mairiechaleins.wixsite.com/mairiechaleins/vivre-a-chaleins
Chaley,210100764,01076,COM,138,hab < 1000,mairie@chaley.fr,04 74 36 41 27,https://chaley.fr
Challes-la-Montagne,210100772,01077,COM,195,hab < 1000,mairie.challeslamontagne@wanadoo.fr,04 74 37 36 05,https://www.challes-la-montagne.fr/
Challex,210100780,01078,COM,1467,1000 ≤ hab < 3500,challex@challex.fr,04 50 56 30 10,http://www.challex.fr
Champagne-en-Valromey,210100798,01079,COM,850,hab < 1000,champagne-val.mairie@wanadoo.fr,04 79 87 61 40,http://www.champagne-en-valromey.fr
Champdor-Corcelles,200056695,01080,COM,672,hab < 1000,champdor@orange.fr,04 74 36 01 79,http://www.champdor-corcelles.jimdo.com
Champfromier,210100814,01081,COM,744,hab < 1000,mairie@champfromier01.fr,04 50 56 92 40,https://champfromier01.fr
Chanay,210100822,01082,COM,647,hab < 1000,secretariat@mairiedechanay.fr,04 50 59 50 38,http://www.mairie-chanay.fr
Chaneins,210100830,01083,COM,913,hab < 1000,mairie@chaneins.fr,04 74 55 87 18,http://www.chaneins.fr
Chanoz-Châtenay,210100848,01084,COM,851,hab < 1000,,,
La Chapelle-du-Châtelard,210100855,01085,COM,392,hab < 1000,,,
Charix,210100871,01087,COM,295,hab < 1000,,,
Charnoz-sur-Ain,210100889,01088,COM,951,hab < 1000,accueil@mairie-charnoz.fr,04 74 61 45 77,http://mairie-charnoz.fr
Château-Gaillard,210100897,01089,COM,2138,1000 ≤ hab < 3500,mairie.chateau-gaillard@wanadoo.fr,04 74 38 22 10,http://www.chateaugaillard01.fr
Châtenay,210100905,01090,COM,342,hab < 1000,,,
Châtillon-la-Palud,210100921,01092,COM,1649,1000 ≤ hab < 3500,secretariat@chatillonlapalud.fr,04 74 35 63 25,http://chatillonlapalud01320.blogspot.fr
Châtillon-sur-Chalaronne,210100939,01093,COM,5095,3500 ≤ hab < 10.000,mairie@chatillon-sur-chalaronne.org,04 74 55 04 33,http://www.chatillon-sur-chalaronne.fr
Chavannes-sur-Reyssouze,210100947,01094,COM,764,hab < 1000,,,
Nivigne et Suran,200062537,01095,COM,816,hab < 1000,mairie@nivigne-et-suran.fr,04 74 51 70 52,http://www.nivigne-et-suran.fr
Chaveyriat,210100962,01096,COM,1036,1000 ≤ hab < 3500,mairie.chaveyriat@wanadoo.fr,04 74 51 90 09,https://www.chaveyriat.fr
Chazey-Bons,200063121,01098,COM,1113,1000 ≤ hab < 3500,mairie@chazey-bons.fr,04 79 81 70 18,http://www.chazey-bons.fr
Chazey-sur-Ain,210100996,01099,COM,1549,1000 ≤ hab < 3500,secretariat@chazey-sur-ain.fr,04 74 61 95 09,http://www.chazey-sur-ain.fr
Cheignieu-la-Balme,210101002,01100,COM,142,hab < 1000,,,
Chevillard,210101010,01101,COM,162,hab < 1000,,,
Chevroux,210101028,01102,COM,974,hab < 1000,mairie@chevroux.fr,03 85 36 40 21,http://www.chevroux.fr
Chevry,210101036,01103,COM,1700,1000 ≤ hab < 3500,mairie@ville-chevry.fr,04 50 41 02 35,http://www.ville-chevry.fr
Chézery-Forens,210101044,01104,COM,471,hab < 1000,chezery@chezery.fr,04 50 56 90 31,http://www.chezery.fr
Civrieux,210101051,01105,COM,1684,1000 ≤ hab < 3500,mairie.civrieux01@wanadoo.fr,04 78 98 01 61,http://www.mairie-civrieux01.fr
Cize,210101069,01106,COM,174,hab < 1000,cize.mairie@wanadoo.fr,04 74 42 90 42,http://www.cize.fr
Cleyzieu,210101077,01107,COM,137,hab < 1000,,,
Coligny,210101085,01108,COM,1212,1000 ≤ hab < 3500,mairie.de.coligny@wanadoo.fr,04 74 30 10 97,http://www.mairie-coligny.fr
Collonges,210101093,01109,COM,2272,1000 ≤ hab < 3500,mairie@collonges.fr,04 50 59 61 25,http://www.collonges.fr
Colomieu,210101101,01110,COM,132,hab < 1000,mairie.colomieu@wanadoo.fr,04 79 81 09 86,http://www.colomieu.fr
Conand,210101119,01111,COM,122,hab < 1000,mairie.conand@gmail.com,04 74 40 95 39,http://www.mairie-conand.fr
Condamine,210101127,01112,COM,451,hab < 1000,mairie@condamine.fr,09 67 19 73 78,http://www.condamine.fr
Condeissiat,210101135,01113,COM,832,hab < 1000,mairie@condeissiat.fr,04 74 51 40 58,http://www.condeissiat.fr
Confort,210101143,01114,COM,631,hab < 1000,mairie.confort@gmail.com,04 50 56 51 27,http://www.confort01.fr
Confrançon,210101150,01115,COM,1360,1000 ≤ hab < 3500,mairie@confrancon.fr,04 74 30 27 38,http://www.confrancon.fr
Contrevoz,210101168,01116,COM,515,hab < 1000,contrevozmairie@orange.fr,04 79 81 82 11,http://www.contrevoz.fr
Conzieu,210101176,01117,COM,154,hab < 1000,commune.conzieu@wanadoo.fr,04 79 81 01 41,http://commune-conzieu-bugey-ain.jimdofree.com
Corbonod,210101184,01118,COM,1290,1000 ≤ hab < 3500,contact@mairie-corbonod.fr,04 50 56 18 30,http://www.corbonod.fr
Corlier,210101218,01121,COM,114,hab < 1000,,,
Cormoranche-sur-Saône,210101234,01123,COM,1153,1000 ≤ hab < 3500,mairie@cormoranche.fr,03 85 36 20 65,http://www.cormoranche.fr
Cormoz,210101242,01124,COM,677,hab < 1000,mairie@cormoz.fr,04 74 51 20 20,http://www.cormoz.fr
Corveissiat,210101259,01125,COM,636,hab < 1000,mairie@corveissiat.fr,04 74 50 70 54,http://www.corveissiat.grandbourg.fr
Courmangoux,210101275,01127,COM,514,hab < 1000,mairie@courmangoux.fr,04 74 51 50 31,http://www.courmangoux.fr
Courtes,210101283,01128,COM,312,hab < 1000,,,
Crans,210101291,01129,COM,267,hab < 1000,mairie.crans@gmail.com,04 74 61 71 37,http://www.mairie-crans.fr
Bresse Vallons,200086965,01130,COM,2307,1000 ≤ hab < 3500,mairie@mairie-cras-sur-reyssouze.fr,04 74 30 90 33,http://www.mairie-cras-sur-reyssouze.fr
Cressin-Rochefort,210101333,01133,COM,404,hab < 1000,mairie.cressin-rochefort@wanadoo.fr,04 79 42 16 33,http://www.cressin-rochefort.fr
Crottet,210101341,01134,COM,1784,1000 ≤ hab < 3500,mairie@crottet.fr,03 85 31 54 87,http://www.crottet.fr
Crozet,210101358,01135,COM,2193,1000 ≤ hab < 3500,accueil@crozet.fr,04 50 41 02 46,https://www.crozet.fr/
Cruzilles-lès-Mépillat,210101366,01136,COM,880,hab < 1000,mairie@cruzilleslesmepillat.fr,03 85 31 52 27,http://www.cruzilleslesmepillat.fr
Culoz,210101382,01138,COM,3109,1000 ≤ hab < 3500,mairie@culoz.fr,04 79 87 00 29,http://www.culoz.fr
Curciat-Dongalon,210101390,01139,COM,448,hab < 1000,mairie.curciat@free.fr,04 74 52 90 68,http://www.curciat-dongalon.fr
Curtafond,210101408,01140,COM,788,hab < 1000,secretariat@curtafond-mairie.com,04 74 30 41 82,http://www.curtafond-mairie.fr
Cuzieu,210101416,01141,COM,449,hab < 1000,mairie.cuzieu01@wanadoo.fr,04 79 81 70 03,http://www.cuzieu01.fr
Dagneux,210101424,01142,COM,4768,3500 ≤ hab < 10.000,accueil@ville-dagneux.fr,04 72 25 11 80,http://www.ville-dagneux.fr
Divonne-les-Bains,210101432,01143,COM,9692,3500 ≤ hab < 10.000,contact@divonne.fr,04 50 20 03 49,http://www.divonnelesbains.fr
Dompierre-sur-Veyle,210101457,01145,COM,1185,1000 ≤ hab < 3500,mairie@dompierre-sur-veyle.fr,04 74 30 31 81,http://www.dompierre-sur-veyle.fr
Dompierre-sur-Chalaronne,210101465,01146,COM,441,hab < 1000,,,
Domsure,210101473,01147,COM,488,hab < 1000,mairie@domsure.fr,04 74 51 22 25,http://www.domsure.fr
Dortan,210101481,01148,COM,1890,1000 ≤ hab < 3500,mairie.dortan@wanadoo.fr,04 74 77 71 26,http://www.dortan.fr
Douvres,210101499,01149,COM,1078,1000 ≤ hab < 3500,mairie@douvres.fr,04 74 38 22 78,http://www.douvres.fr
Drom,210101507,01150,COM,222,hab < 1000,mairie@drom.fr,04 74 30 67 48,https://drom.grandbourg.fr
Druillat,210101515,01151,COM,1175,1000 ≤ hab < 3500,accueil@mairiedruillat.fr,04 74 39 07 98,http://www.druillat.fr
Échallon,210101523,01152,COM,780,hab < 1000,secretariat.mairie@echallon.fr,04 74 76 48 51,http://www.echallon.fr
Échenevex,210101531,01153,COM,2247,1000 ≤ hab < 3500,mairie@echenevex.fr,04 50 41 56 56,http://www.echenevex.fr
Évosges,210101556,01155,COM,148,hab < 1000,mairie-evosges@wanadoo.fr,04 74 38 55 60,http://www.evosges.fr
Faramans,210101564,01156,COM,813,hab < 1000,com01faramans@wanadoo.fr,04 74 61 13 26,http://www.commune-faramans.fr
Fareins,210101572,01157,COM,2253,1000 ≤ hab < 3500,mairie@mairie-fareins.com,04 74 67 83 37,http://www.fareins.com
Farges,210101580,01158,COM,1028,1000 ≤ hab < 3500,contact@mairie-farges.fr,04 50 59 64 84,http://www.mairie-farges.fr
Feillens,210101598,01159,COM,3372,1000 ≤ hab < 3500,commune-de-feillens@wanadoo.fr,03 85 36 17 00,http://www.feillens.fr
Ferney-Voltaire,210101606,01160,COM,9800,3500 ≤ hab < 10.000,service.courrier@ferney-voltaire.fr,04 50 40 71 21,http://www.ferney-voltaire.fr
Flaxieu,210101622,01162,COM,69,hab < 1000,mairie.flaxieu@gmail.com,04 79 42 11 71,http://www.flaxieu.fr
Foissiat,210101630,01163,COM,2100,1000 ≤ hab < 3500,mairie@foissiat.com,04 74 52 38 15,http://www.foissiat.com
Francheleins,210101655,01165,COM,1606,1000 ≤ hab < 3500,contact@francheleins.fr,04 74 69 31 74,https://francheleins.fr
Frans,210101663,01166,COM,2388,1000 ≤ hab < 3500,mairiedefrans@frans.fr,04 74 60 95 81,http://www.frans.fr
Garnerans,210101671,01167,COM,680,hab < 1000,mairie@garnerans.com,04 74 04 05 56,http://www.garnerans.com
Genouilleux,210101697,01169,COM,619,hab < 1000,mairie@genouilleux.fr,04 74 66 51 13,http://www.genouilleux.fr
Béard-Géovreissiat,210101705,01170,COM,1066,1000 ≤ hab < 3500,mairie@beard-geovreissiat.fr,04 74 76 17 82,http://beard-geovreissiat.fr
Géovreisset,210101713,01171,COM,937,hab < 1000,mairie.geovreisset@wanadoo.fr,04 74 77 20 63,http://www.geovreisset.fr
Gex,210101739,01173,COM,12894,10.000 ≤ hab < 100.000,mairie@ville-gex.fr,04 50 42 63 00,http://www.gex.fr
Giron,210101747,01174,COM,184,hab < 1000,mairie@giron-1000.fr,04 50 59 82 11,http://www.mairiegiron.fr
Gorrevod,210101754,01175,COM,882,hab < 1000,,,
Grand-Corent,210101770,01177,COM,181,hab < 1000,commune.grand-corent@orange.fr,04 74 42 90 03,http://grand.corent.free.fr
Grièges,210101796,01179,COM,1942,1000 ≤ hab < 3500,mairie.grieges@orange.fr,03 85 31 52 45,http://www.grieges.fr
Grilly,210101804,01180,COM,827,hab < 1000,info@mairie-grilly.fr,04 50 20 71 79,http://www.mairie-grilly.fr
Groissiat,210101812,01181,COM,1256,1000 ≤ hab < 3500,mairie@mairiegroissiat.fr,04 74 77 13 08,http://www.groissiat.fr
Guéreins,210101838,01183,COM,1461,1000 ≤ hab < 3500,mairie-guereins@outlook.fr,04 74 66 11 59,http://www.guereins.fr
Hautecourt-Romanèche,210101846,01184,COM,806,hab < 1000,hautecourt.romaneche@cc-lavalliere.fr,04 74 51 80 66,http://www.hautecourt-romaneche.fr
Plateau d'Hauteville,200086122,01185,COM,5025,3500 ≤ hab < 10.000,mairie@plateauhauteville.fr,04 74 40 41 80,https://www.plateauhauteville.fr
Haut Valromey,200053676,01187,COM,727,hab < 1000,mairie.hautvalromey@orange.fr,04 79 87 72 32,http://www.hautvalromey.fr
Illiat,210101887,01188,COM,632,hab < 1000,secretariat@illiat.fr,04 74 24 06 70,http://www.illiat.fr
Injoux-Génissiat,210101895,01189,COM,1181,1000 ≤ hab < 3500,mairie@injoux-genissiat.fr,04 50 59 95 11,http://www.mairie-injouxgenissiat.fr
Innimond,210101903,01190,COM,101,hab < 1000,,,
Izenave,210101911,01191,COM,166,hab < 1000,,,
Izernore,210101929,01192,COM,2318,1000 ≤ hab < 3500,mairie@izernore.fr,04 74 76 96 76,http://www.izernore.fr
Izieu,210101937,01193,COM,244,hab < 1000,mairie-izieu@orange.fr,04 79 87 23 00,https://izieu.fr
Jassans-Riottier,210101945,01194,COM,6516,3500 ≤ hab < 10.000,mairie@jassansriottier.fr,04 74 09 86 86,http://www.jassansriottier.fr
Jasseron,210101952,01195,COM,1814,1000 ≤ hab < 3500,mairie@jasseron.com,04 74 30 01 04,https://www.jasseron.fr
Jayat,210101960,01196,COM,1179,1000 ≤ hab < 3500,mairie@jayat.fr,04 74 25 41 22,http://www.jayat.fr
Journans,210101978,01197,COM,369,hab < 1000,mairiejournans@wanadoo.fr,04 74 51 64 45,http://www.journans.fr
Joyeux,210101986,01198,COM,277,hab < 1000,,,
Jujurieux,210101994,01199,COM,2228,1000 ≤ hab < 3500,accueil@jujurieux.fr,04 74 36 82 66,https://www.jujurieux.fr
Labalme,210102000,01200,COM,214,hab < 1000,,,
Lagnieu,210102026,01202,COM,7234,3500 ≤ hab < 10.000,mairie.lagnieu@orange.fr,04 74 40 19 79,http://www.lagnieu.fr
Laiz,210102034,01203,COM,1252,1000 ≤ hab < 3500,mairie-laiz@laiz.fr,03 85 31 51 27,http://www.laiz.fr
Le Poizat-Lalleyriat,200053395,01204,COM,728,hab < 1000,mairie.lepoizatlalleyriat@gmail.com,04 74 75 30 04,http://www.lepoizat-lalleyriat.com
Lantenay,210102067,01206,COM,278,hab < 1000,mairiedelantenay@wanadoo.fr,04 74 76 38 19,http://www.lantenay.fr
Lapeyrouse,210102075,01207,COM,336,hab < 1000,lapeyrouse-mairie@orange.fr,04 74 98 14 54,https://sites.google.com/site/mairiedelapeyrouse
Lavours,210102083,01208,COM,133,hab < 1000,,,
Léaz,210102091,01209,COM,734,hab < 1000,mairie@leaz.fr,04 50 48 23 01,http://www.leaz.fr
Lélex,210102109,01210,COM,229,hab < 1000,mairie@lelex.fr,04 50 20 91 15,http://www.lelex.fr
Lent,210102117,01211,COM,1452,1000 ≤ hab < 3500,mairiedelent@gmail.com,04 74 52 75 17,http://www.lent-01.fr
Lescheroux,210102125,01212,COM,741,hab < 1000,mairiedelescheroux@wanadoo.fr,04 74 52 61 39,http://www.lescheroux.fr
Leyment,210102133,01213,COM,1313,1000 ≤ hab < 3500,secretariat@mairiedeleyment.fr,04 74 34 92 23,http://www.leymentmairie.com
Leyssard,210102141,01214,COM,157,hab < 1000,,,
Surjoux-Lhopital,200085306,01215,COM,129,hab < 1000,,,
Lhuis,210102166,01216,COM,910,hab < 1000,mairie.lhuis@gmail.com,04 74 39 82 96,http://www.lhuis.fr
Lompnas,210102190,01219,COM,171,hab < 1000,mairie@lompnaz.com,04 74 40 91 39,http://www.lompnas.com
Loyettes,210102240,01224,COM,3175,1000 ≤ hab < 3500,mairie@commune-loyettes.fr,04 78 32 70 28,http://www.commune-loyettes.fr
Lurcy,210102257,01225,COM,389,hab < 1000,mairie.lurcy@wanadoo.fr,04 74 69 39 64,http://www.lurcy.fr
Magnieu,200084978,01227,COM,652,hab < 1000,,,
Maillat,210102281,01228,COM,645,hab < 1000,mairie@maillat.fr,04 74 75 71 74,http://www.maillat.fr
Malafretaz,210102299,01229,COM,1213,1000 ≤ hab < 3500,mairie@malafretaz.fr,04 74 25 41 27,http://www.malafretaz.fr
Mantenay-Montlin,210102307,01230,COM,317,hab < 1000,,,
Manziat,210102315,01231,COM,2035,1000 ≤ hab < 3500,mairie@manziat.fr,03 85 23 91 77,http://www.manziat.fr
Marboz,210102323,01232,COM,2272,1000 ≤ hab < 3500,accueil@mairie-marboz.fr,04 74 51 00 12,http://www.marboz.grandbourg.fr
Marchamp,210102331,01233,COM,133,hab < 1000,,,
Marignieu,210102349,01234,COM,180,hab < 1000,,,
Marlieux,210102356,01235,COM,1163,1000 ≤ hab < 3500,mairie.marlieux@wanadoo.fr,04 74 42 86 30,http://www.marlieux.com
Marsonnas,210102364,01236,COM,997,hab < 1000,mairie.marsonnas@wanadoo.fr,04 74 51 10 09,http://marsonnas.fr
Martignat,210102372,01237,COM,1691,1000 ≤ hab < 3500,mairie@martignat.com,04 74 81 12 94,http://www.martignat.com
Massieux,210102380,01238,COM,2578,1000 ≤ hab < 3500,mairie@mairie-de-massieux.fr,04 78 98 00 43,http://www.mairie-de-massieux.fr
