nom,SIREN,type,code_region,code_departement,population,tranche_pop,adresse_courriel,telephone,site_internet
CA de Bastia,242000354,CA,94,2B,59494,10.000 ≤ hab < 100.000,contact@agglo-bastia.corsica,04 95 55 18 18,http://www.bastia-agglomeration.com
"CA de Béthune-Bruay,Artois-Lys Romane",200072460,CA,32,62,281262,100.000 ≤ hab < 500.000,contact@bethunebruay.fr,03 21 61 50 00,http://bethunebruay.fr
CA de Cambrai,200068500,CA,32,59,83517,10.000 ≤ hab < 100.000,contact@agglo-cambrai.fr,03 27 72 40 00,http://www.agglo-cambrai.fr
CA de Cergy-Pontoise,249500109,CA,11,"78,95",208006,100.000 ≤ hab < 500.000,,,
CA de Chaumont,200068658,CA,44,52,47411,10.000 ≤ hab < 100.000,standard@ville-chaumont.fr,03 25 30 60 00,http://www.ville-chaumont.fr
CA de Forbach Porte de France,245700372,CA,44,57,79237,10.000 ≤ hab < 100.000,courrier@agglo-forbach.fr,03 87 85 55 00,http://www.agglo-forbach.fr
CA de l'Espace Sud de la Martinique,249720053,CA,02,972,119455,100.000 ≤ hab < 500.000,,,
CA de l'Ouest Rhodanien,200040566,CA,84,69,51863,10.000 ≤ hab < 100.000,contact@c-or.fr,04 74 05 06 60,http://www.ouestrhodanien.fr
CA de la Baie de Somme,200070993,CA,32,80,50842,10.000 ≤ hab < 100.000,,,
CA de la Porte du Hainaut,200042190,CA,32,59,160249,100.000 ≤ hab < 500.000,contact@agglo-porteduhainaut.fr,03 27 09 05 05,http://www.agglo-porteduhainaut.fr
CA de la Provence Verte,200068104,CA,93,83,100358,100.000 ≤ hab < 500.000,,,
CA de la Région de Château-Thierry,200072031,CA,32,02,55382,10.000 ≤ hab < 100.000,contact@carct.fr,03 23 69 75 41,http://www.carct.fr
CA de Lamballe Terre et Mer,200069391,CA,53,22,69133,10.000 ≤ hab < 100.000,contact@lamballe-terre-mer.bzh,02 96 50 00 30,http://www.lamballe-terre-mer.bzh
CA de Lens - Liévin,246200364,CA,32,62,244709,100.000 ≤ hab < 500.000,contact@agglo-lenslievin.fr,03 21 79 07 90,http://www.agglo-lenslievin.fr
CA de Longwy,245400262,CA,44,54,62399,10.000 ≤ hab < 100.000,ccal.direction@cc-longwy.fr,03 82 26 03 00,http://www.ccal-longwy.fr
CA de Saint-Dié-des-Vosges,200071066,CA,44,"54,88",77932,10.000 ≤ hab < 100.000,,,
CA de Saint-Dizier Der et Blaise,200068666,CA,44,"51,52",60511,10.000 ≤ hab < 100.000,codecom@mairie-saintdizier.fr,03 25 07 31 31,http://www.saintdizierderetblaise.fr
CA de Saint-Quentin-en-Yvelines,200058782,CA,11,78,232778,100.000 ≤ hab < 500.000,,01 39 44 80 80,http://www.saint-quentin-en-yvelines.fr
CA de Saintes,200036473,CA,75,17,62280,10.000 ≤ hab < 100.000,info@agglo-saintes.fr,05 46 93 41 50,http://www.agglo-saintes.fr
CA Dembeni-Mamoudzou,200060457,CA,06,976,89090,10.000 ≤ hab < 100.000,,,
CA des Deux Baies en Montreuillois,200069029,CA,32,62,68207,10.000 ≤ hab < 100.000,contact@ca2bm.fr,03 21 06 66 66,http://www.ca2bm.fr
CA du Bassin d'Arcachon Nord,243301504,CA,75,33,66632,10.000 ≤ hab < 100.000,contact@coban-atlantique.fr,05 57 76 17 17,http://www.coban-atlantique.fr
CA du Bassin d'Aurillac,241500230,CA,84,15,56066,10.000 ≤ hab < 100.000,contact@caba.fr,04 71 46 86 30,http://www.caba.fr
CA du Bassin de Bourg-en-Bresse,200071751,CA,84,01,136014,100.000 ≤ hab < 500.000,courrier@grandbourg.fr,04 74 24 75 15,http://www.grandbourg.fr
CA du Beauvaisis,200067999,CA,32,60,104563,100.000 ≤ hab < 500.000,contact@beauvaisis.fr,03 44 15 68 00,http://www.beauvaisis.fr
CA du Bocage Bressuirais,200040244,CA,75,79,75710,10.000 ≤ hab < 100.000,contact@agglo2b.fr,05 49 81 19 00,http://www.agglo2b.fr
CA du Caudrésis et du Catésis,200030633,CA,32,59,65727,10.000 ≤ hab < 100.000,secretariat@caudresis-catesis.fr,03 27 75 84 79,http://www.caudresis-catesis.fr
CA du Centre de la Martinique,249720061,CA,02,972,159688,100.000 ≤ hab < 500.000,,,
CA du Choletais,200071678,CA,52,49,106711,100.000 ≤ hab < 500.000,contactville@choletagglomeration.fr,02 72 77 20 00,http://cholet.fr
CA du Gard Rhodanien,200034692,CA,76,30,75501,10.000 ≤ hab < 100.000,,,
CA du Grand Angoulême,200071827,CA,75,16,147950,100.000 ≤ hab < 500.000,contact@grandangouleme.fr,05 45 38 60 60,http://www.grandangouleme.fr
CA du Grand Annecy,200066793,CA,84,74,206835,100.000 ≤ hab < 500.000,agglo@grandannecy.fr,04 50 63 48 48,http://www.grandannecy.fr
CA du Grand Cognac,200070514,CA,75,16,71882,10.000 ≤ hab < 100.000,contact@grand-cognac.fr,05 45 36 64 30,http://www.grand-cognac.fr
CA du Grand Dax,244000675,CA,75,40,57424,10.000 ≤ hab < 100.000,contact@grand-dax.fr,05 58 56 39 40,http://www.grand-dax.fr
CA du Grand Nord de Mayotte,200060465,CA,06,976,60372,10.000 ≤ hab < 100.000,,,
CA du Grand Verdun,200049187,CA,44,55,29910,10.000 ≤ hab < 100.000,contact@grandverdun.fr,03 29 83 44 22,http://www.verdun.fr
CA du Grand Villeneuvois,200023307,CA,75,47,49501,10.000 ≤ hab < 100.000,contact@grand-villeneuvois.fr,05 53 71 54 81,http://www.grand-villeneuvois.fr
CA du Libournais,200070092,CA,75,33,92640,10.000 ≤ hab < 100.000,contact@lacali.fr,05 57 25 01 51,http://www.lacali.fr
CA du Nord Basse-Terre,249710062,CA,01,971,79657,10.000 ≤ hab < 100.000,,,
CA du Nord Grande Terre,200044691,CA,01,971,58988,10.000 ≤ hab < 100.000,,,
CA du Pays Basque,200067106,CA,75,64,315349,100.000 ≤ hab < 500.000,communication@communaute-paysbasque.fr,05 59 44 72 72,http://www.communaute-paysbasque.fr
CA du Pays de Dreux,200040277,CA,"24,28","27,28",117264,100.000 ≤ hab < 500.000,contact@dreux-agglomeration.fr,02 37 64 82 00,http://www.dreux-agglomeration.fr
CA du Pays de Fontainebleau,200072346,CA,11,77,70211,10.000 ≤ hab < 100.000,accueil@pays-fontainebleau.fr,01 64 70 10 80,http://www.pays-fontainebleau.fr
CA du Pays de Laon,200043495,CA,32,02,44505,10.000 ≤ hab < 100.000,contact@ca-paysdelaon.fr,03 23 22 31 00,http://www.ca-paysdelaon.fr
CA du Pays de Meaux,200072130,CA,11,77,98796,10.000 ≤ hab < 100.000,contact@meaux.fr,01 60 09 97 00,http://www.agglo-paysdemeaux.fr
CA du Pays Nord Martinique,200041788,CA,02,972,103151,100.000 ≤ hab < 500.000,,,
CA du Pays Voironnais,243800984,CA,84,38,95787,10.000 ≤ hab < 100.000,info@paysvoironnais.com,04 76 93 17 71,http://www.paysvoironnais.com
CA du Sud,249740085,CA,04,974,128783,100.000 ≤ hab < 500.000,,,
CA ECLA  (Espace Communautaire Lons Agglomération),200071116,CA,27,39,36085,10.000 ≤ hab < 100.000,contact@ecla-jura.fr,03 84 24 46 06,http://www.ecla-jura.fr
"CA Épernay,Coteaux et Plaine de Champagne",200067684,CA,44,51,49677,10.000 ≤ hab < 100.000,accueil@epernay-agglo.fr,03 26 56 47 10,http://www.epernay-agglo.fr
CA Étampois Sud-Essonne,200017846,CA,11,91,54511,10.000 ≤ hab < 100.000,,,
CA Flers Agglo,200035814,CA,28,61,56064,10.000 ≤ hab < 100.000,accueil@flers-agglo.fr,02 33 64 66 00,http://www.flers-agglo.fr
CA Fougères Agglomération,200072452,CA,53,35,57021,10.000 ≤ hab < 100.000,accueil@fougeres-agglo.bzh,02 99 94 50 34,http://www.fougeres-agglo.bzh
CA Golfe du Morbihan - Vannes Agglomération,200067932,CA,53,56,171960,100.000 ≤ hab < 500.000,courrier@gmvagglo.bzh,02 97 68 14 24,http://www.golfedumorbihan-vannesagglomeration.bzh
CA Grand Auch Cœur de Gascogne,200066926,CA,76,32,40107,10.000 ≤ hab < 100.000,accueil@grand-auch.fr,05 62 60 40 10,http://www.grandauch.fr
CA Grand Calais Terres et Mers,200090751,CA,32,62,104918,100.000 ≤ hab < 500.000,info@grandcalais.fr,03 21 19 55 00,http://www.grandcalais.fr
CA Grand Châtellerault,248600413,CA,75,86,86819,10.000 ≤ hab < 100.000,,,
CA Grand Lac,200068674,CA,84,73,75951,10.000 ≤ hab < 100.000,contact@grand-lac.fr,04 79 35 00 51,http://www.grand-lac.fr
CA Grand Montauban,248200099,CA,76,82,79428,10.000 ≤ hab < 100.000,,,
CA Grand Sud Caraïbe,249710070,CA,01,971,81732,10.000 ≤ hab < 100.000,,,
CA GrandSoissons Agglomération,240200477,CA,32,02,53504,10.000 ≤ hab < 100.000,accueilagglo@agglo-soissonnais.com,03 23 53 88 40,http://agglo.grandsoissons.com
CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,200067981,CA,53,22,76381,10.000 ≤ hab < 100.000,contact@guingamp-paimpol.bzh,02 96 13 59 59,http://www.guingamp-paimpol-agglo.bzh
CA Haut - Bugey Agglomération,200042935,CA,84,01,65393,10.000 ≤ hab < 100.000,contact@hautbugey-agglomeration.fr,04 74 81 23 70,http://www.hautbugey-agglomeration.fr
CA Intercommunale de la Réunion Est (CIREST),249740093,CA,04,974,128017,100.000 ≤ hab < 500.000,,,
CA Intercommunale du Nord de la Réunion (CINOR),249740119,CA,04,974,206381,100.000 ≤ hab < 500.000,,,
CA La Riviera du Levant,200041507,CA,01,971,66337,10.000 ≤ hab < 100.000,,,
CA Laval Agglomération,200083392,CA,52,53,117515,100.000 ≤ hab < 500.000,laval-agglo@agglo-laval.fr,02 43 49 46 47,http://www.agglo-laval.fr
CA Le Grand Narbonne,241100593,CA,76,11,130164,100.000 ≤ hab < 500.000,,04 68 58 14 58,http://www.legrandnarbonne.com
CA Le Grand Périgueux,200040392,CA,75,24,107359,100.000 ≤ hab < 500.000,contact@grandperigueux.fr,05 53 35 86 00,http://www.grandperigueux.fr
CA Le Muretain Agglo,200068641,CA,76,31,121794,100.000 ≤ hab < 500.000,accueil@agglo-muretain.fr,05 34 46 30 30,http://www.agglo-muretain.fr
CA Les Sables d'Olonne Agglomération,200071165,CA,52,85,53622,10.000 ≤ hab < 100.000,,,
CA Luberon Monts de Vaucluse,200040442,CA,93,84,56156,10.000 ≤ hab < 100.000,,,
CA Marne et Gondoire,247700594,CA,11,77,105085,100.000 ≤ hab < 500.000,accueil@marneetgondoire.fr,01 60 35 43 50,http://www.marneetgondoire.fr
CA Maubeuge Val de Sambre,200043396,CA,32,59,127193,100.000 ≤ hab < 500.000,amvs@amvs.fr,03 27 53 01 00,http://www.agglo-maubeugevaldesambre.fr
CA Melun Val de Seine,247700057,CA,11,77,133094,100.000 ≤ hab < 500.000,,01 64 79 25 25,http://www.melunvaldeseine.fr
CA Mont-de-Marsan Agglomération,244000808,CA,75,40,55741,10.000 ≤ hab < 100.000,accueil.agglo@montdemarsan-agglo.fr,05 58 46 64 10,http://www.montdemarsan-agglo.fr
CA Montélimar Agglomération,200040459,CA,84,26,66778,10.000 ≤ hab < 100.000,contact@montelimar-agglo.fr,04 75 00 64 41,http://www.montelimar-agglo.fr
CA Montluçon Communauté,200071082,CA,84,03,64249,10.000 ≤ hab < 100.000,contact@agglo-montlucon.fr,04 70 02 55 00,http://www.montlucon-communaute.com
CA Morlaix Communauté,242900835,CA,53,29,66611,10.000 ≤ hab < 100.000,contact@agglo.morlaix.fr,02 98 15 31 31,http://www.morlaix-communaute.bzh
CA Pays d'Issoire,200070407,CA,84,63,57403,10.000 ≤ hab < 100.000,contact@capissoire.fr,04 15 62 20 00,http://www.capissoire.fr
CA Pays de Montbéliard Agglomération,200065647,CA,27,25,142947,100.000 ≤ hab < 500.000,,03 81 31 88 88,http://www.agglo-montbeliard.fr
CA Pornic Agglo Pays de Retz,200067346,CA,52,44,57449,10.000 ≤ hab < 100.000,contact@pornicagglo.fr,02 51 74 07 16,http://www.pornicagglo.fr
CA Portes de France-Thionville,245701362,CA,44,57,80823,10.000 ≤ hab < 100.000,contact@agglo-thionville.fr,03 82 52 65 26,http://www.agglo-thionville.fr
CA Quimperlé Communauté,242900694,CA,53,29,57117,10.000 ≤ hab < 100.000,contact@quimperle-co.bzh,02 98 35 09 40,http://www.quimperle-communaute.bzh
CA Riom Limagne et Volcans,200070753,CA,84,63,68500,10.000 ≤ hab < 100.000,contact@rlv.eu,04 73 67 11 00,http://www.rlv.eu
CA Rochefort Océan,200041762,CA,75,17,65068,10.000 ≤ hab < 100.000,contact@agglo-rochefortocean.fr,05 46 82 17 80,http://www.agglo-rochefortocean.fr
CA Roissy Pays de France,200055655,CA,11,"77,95",353428,100.000 ≤ hab < 500.000,,,
CA Saint-Avold Synergie,200067502,CA,44,57,54561,10.000 ≤ hab < 100.000,communaute@agglo-saint-avold.fr,03 87 92 84 76,http://www.agglo-saint-avold.fr
CA Saint-Germain Boucles de Seine,200058519,CA,11,"78,95",341615,100.000 ≤ hab < 500.000,contact@casgbs.fr,01 30 09 75 30,http://www.saintgermainbouclesdeseine.fr
CA Saint-Lô Agglo,200066389,CA,28,50,79055,10.000 ≤ hab < 100.000,contact@saint-lo-agglo.fr,02 14 29 00 00,http://www.saint-lo-agglo.fr
CA Sarreguemines Confluences,200070746,CA,44,"57,67",66726,10.000 ≤ hab < 100.000,contact@agglo-sarreguemines.fr,03 87 28 30 30,http://www.agglo-sarreguemines.fr
CA Saumur Val de Loire,200071876,CA,52,49,103473,100.000 ≤ hab < 500.000,contact@agglo-saumur.fr,02 41 40 45 50,http://www.saumurvaldeloire.fr
CA Seine Normandie Agglomération,200072312,CA,28,27,85544,10.000 ≤ hab < 100.000,accueil@sna27.fr,02 32 53 50 03,http://www.sna27.fr
CA Seine-Eure,200089456,CA,28,27,76026,10.000 ≤ hab < 100.000,agglo@seine-eure.com,02 32 50 85 50,https://www.agglo-seine-eure.fr
CA Sud Sainte-Baume,248300394,CA,93,83,62072,10.000 ≤ hab < 100.000,,,
CA Terre de Provence,200035087,CA,93,13,59870,10.000 ≤ hab < 100.000,accueil@terredeprovence-agglo.com,04 32 61 96 30,http://www.terredeprovence-agglo.com
CA Territoire de la Côte Ouest (TCO),249740101,CA,04,974,216765,100.000 ≤ hab < 500.000,,,
CA Thonon Agglomération,200067551,CA,84,74,89290,10.000 ≤ hab < 100.000,,,
CA Troyes Champagne Métropole,200069250,CA,44,10,174658,100.000 ≤ hab < 500.000,accueil.tcm@troyes-cm.fr,03 25 45 27 27,http://www.troyes-champagne-metropole.fr
CA Tulle Agglo,241927201,CA,75,19,46122,10.000 ≤ hab < 100.000,tulleagglo@tulleagglo.fr,05 55 20 75 00,http://www.tulleagglo.fr
CA Val d'Europe Agglomération,247700339,CA,11,77,36079,10.000 ≤ hab < 100.000,contact@vdeagglo.fr,01 60 43 80 80,http://www.valdeuropeagglo.fr
CA Val d'Yerres Val de Seine,200058477,CA,11,91,179331,100.000 ≤ hab < 500.000,,,
CA Val de Garonne Agglomération,200030674,CA,75,47,62228,10.000 ≤ hab < 100.000,vga@vg-agglo.com,05 53 64 40 46,https://www.vg-agglo.com/
CA Val Parisis,200058485,CA,11,95,276313,100.000 ≤ hab < 500.000,,,
CA Valence Romans Agglo,200068781,CA,84,26,225881,100.000 ≤ hab < 500.000,accueil@valenceromansagglo.fr,04 75 81 30 30,http://www.valenceromansagglo.fr
CA Vichy Communauté,200071363,CA,84,03,84770,10.000 ≤ hab < 100.000,accueil@vichy-communaute.fr,04 70 96 57 00,http://www.vichy-communaute.fr
CA Villefranche Beaujolais Saône,200040590,CA,84,"01,69",74752,10.000 ≤ hab < 100.000,contact@agglo-villefranche.fr,04 74 68 23 08,http://www.agglo-villefranche.fr
CA Vitré Communauté,200039022,CA,53,35,82412,10.000 ≤ hab < 100.000,c.agglo@vitrecommunaute.org,02 99 74 52 61,http://www.vitrecommunaute.org
CC Adour Madiran,200072106,CC,"75,76","64,65",25177,10.000 ≤ hab < 100.000,contact@adour-madiran.fr,05 62 31 68 84,http://www.adour-madiran.fr
CC Agly Fenouillèdes,246600423,CC,76,66,6015,3500 ≤ hab < 10.000,contact@cc-aglyfenouilledes.fr,04 68 59 20 13,http://www.cc-aglyfenouilledes.fr
CC Airvaudais-Val du Thouet,200041416,CC,75,79,7055,3500 ≤ hab < 10.000,communaute@cc-avt.fr,05 49 64 93 48,http://www.cc-avt.fr
CC Albret Communauté,200068948,CC,75,47,27383,10.000 ≤ hab < 100.000,contact@albretcommunaute.fr,05 53 97 55 97,http://www.albretcommunaute.fr
CC Alpes d'Azur,200039931,CC,93,06,9802,3500 ≤ hab < 10.000,,,
CC Alpes-Provence-Verdon - Sources de Lumière,200068625,CC,93,04,11614,10.000 ≤ hab < 100.000,contact@ccapv.fr,04 92 83 68 99,http://www.ccapv.fr
CC Altitude 800,242504488,CC,27,25,6615,3500 ≤ hab < 10.000,cca@cca800.fr,03 81 38 27 50,http://www.cca800.fr
CC Ambert Livradois Forez,200070761,CC,84,63,28446,10.000 ≤ hab < 100.000,accueil@ambertlivradoisforez.fr,04 73 72 71 40,https://www.ambertlivradoisforez.fr
CC Amognes Cœur du Nivernais,200067908,CC,27,58,8932,3500 ≤ hab < 10.000,contact@ccacn.fr,03 86 58 46 22,http://cc-amognescoeurdunivernais.fr
CC Andaine - Passais,200068443,CC,28,61,13635,10.000 ≤ hab < 100.000,accueilsiege@ccandainepassais.fr,02 33 37 95 15,http://www.cdcdupaysdandaine.fr
CC Anjou Bleu Communauté,244900809,CC,52,49,36001,10.000 ≤ hab < 100.000,contact@anjoubleucommunaute.fr,02 41 26 51 27,http://www.anjoubleucommunaute.fr
CC Anjou Loir et Sarthe,200068955,CC,52,49,28100,10.000 ≤ hab < 100.000,contact@ccals.fr,02 52 75 05 05,https://www.ccals.fr
"CC Arbois,Poligny,Salins,Cœur du Jura",200071595,CC,27,39,23142,10.000 ≤ hab < 100.000,contact@ville-poligny.fr,03 84 73 71 71,http://www.cc-coeurdujura.fr
CC Arc Sud Bretagne,200027027,CC,53,56,27767,10.000 ≤ hab < 100.000,contact@arcsudbretagne.fr,02 97 41 46 26,http://www.arcsudbretagne.fr
CC Ardèche des Sources et Volcans,200039824,CC,84,07,9852,3500 ≤ hab < 10.000,cdc@ardechedessourcesetvolcans.com,04 75 89 01 48,http://www.asv-cdc.fr
CC Ardèche Rhône Coiron,200071405,CC,84,07,22919,10.000 ≤ hab < 100.000,accueil@ardecherhonecoiron.fr,04 75 00 04 11,https://www.ardecherhonecoiron.fr
"CC Ardenne,Rives de Meuse",240800821,CC,44,08,27990,10.000 ≤ hab < 100.000,president@ardennerivesdemeuse.com,03 24 41 50 90,http://www.ardennerivesdemeuse.com
CC Ardennes Thiérache,200041622,CC,44,08,10171,10.000 ≤ hab < 100.000,contact@ardennesthierache.fr,03 24 26 13 31,http://www.ardennes-thierache.com
CC Argentan Intercom,200068450,CC,28,61,35206,10.000 ≤ hab < 100.000,informations@argentan-intercom.fr,02 33 12 25 25,http://www.argentan-intercom.fr
CC Argonne-Meuse,200066116,CC,44,55,7408,3500 ≤ hab < 10.000,contact@argonne-meuse.fr,03 29 87 40 12,https://argonne-meuse.fr
CC Arize Lèze,200066223,CC,76,09,10908,10.000 ≤ hab < 100.000,accueil@arize-leze.fr,05 61 68 55 90,http://www.arize-leze.fr
CC Armagnac Adour,200035632,CC,76,32,7106,3500 ≤ hab < 10.000,ccaa@armagnacadour.fr,05 62 69 86 43,http://www.armagnacadour.fr
CC Arnon Boischaut Cher,200027076,CC,24,18,8371,3500 ≤ hab < 10.000,comcom.abc@orange.fr,02 48 60 42 74,http://www.comcomabc.fr
CC Artagnan de Fezensac,243200607,CC,76,32,7244,3500 ≤ hab < 10.000,ccommunes.dartagnan.fezensac@wanadoo.fr,05 62 64 89 63,http://www.dartagnanenfezensac.com
CC Arve et Salève,247400583,CC,84,74,20270,10.000 ≤ hab < 100.000,contact@arve-saleve.fr,04 50 43 46 14,http://www.arve-saleve.fr
CC Astarac Arros en Gascogne,200035756,CC,76,32,7568,3500 ≤ hab < 10.000,contact@cdcaag.fr,05 62 64 84 51,http://www.cdcaag.fr
CC Aubrac Lot Causses Tarn,200069268,CC,76,48,8191,3500 ≤ hab < 10.000,,,
"CC Aubrac,Carladez et Viadène",200067171,CC,76,12,10531,10.000 ≤ hab < 100.000,contact@ccacv.fr,05 65 51 52 30,http://www.ccacv.fr
CC Aunis Atlantique,200041499,CC,75,17,29981,10.000 ≤ hab < 100.000,"contact@haute-saintonge.org, contact@aunisatlantique.fr","05 46 48 12 11, 05 46 68 92 93","http://www.haute-saintonge.net, http://www.aunisatlantique.fr"
CC Aunis Sud,200041614,CC,75,17,32182,10.000 ≤ hab < 100.000,contact@aunis-sud.fr,05 46 07 22 33,http://www.aunis-sud.fr
CC Auray Quiberon Terre Atlantique,200043123,CC,53,56,88628,10.000 ≤ hab < 100.000,accueil@auray-quiberon.fr,02 97 29 18 69,http://www.auray-quiberon.fr
CC Auxonne Pontailler Val de Saône,200070902,CC,27,21,23768,10.000 ≤ hab < 100.000,contact@capvaldesaone.fr,03 80 27 03 20,https://www.capvaldesaone.fr
CC Auzon Communauté,244301099,CC,84,43,9485,3500 ≤ hab < 10.000,contact@cc-auzon.fr,04 73 54 02 28,http://www.cc-auzon.fr
"CC Avallon,Vézelay,Morvan",200039758,CC,27,89,19823,10.000 ≤ hab < 100.000,,,
CC Aveyron Bas Ségala Viaur,241200807,CC,76,12,5776,3500 ≤ hab < 10.000,,,
CC Avre Luce Noye,200070969,CC,32,80,22231,10.000 ≤ hab < 100.000,,,
CC Aygues-Ouvèze en Provence (CCAOP),248400160,CC,93,84,19506,10.000 ≤ hab < 100.000,,,
CC Bassée-Montois,200040251,CC,11,77,24039,10.000 ≤ hab < 100.000,contact@cc-basseemontois.fr,01 60 67 09 10,http://www.cc-basseemontois.fr
CC Bastides de Lomagne,200034726,CC,76,32,11513,10.000 ≤ hab < 100.000,contact@ccbl32.fr,05 62 06 84 67,http://www.ccbl32.fr
CC Bastides et Vallons du Gers,243200508,CC,76,32,7516,3500 ≤ hab < 10.000,accueil@ccbvg.fr,05 62 09 30 68,http://ccbvg.fr
CC Bazois Loire Morvan,200067882,CC,27,58,15954,10.000 ≤ hab < 100.000,contact@bazoisloiremorvan.fr,03 86 84 33 55,http://www.bazoisloiremorvan.fr
CC Beaucaire Terre d'Argence,243000585,CC,76,30,31272,10.000 ≤ hab < 100.000,communication@laterredargence.fr,04 66 59 54 54,http://www.laterredargence.fr
CC Beauce Val de Loire,200055481,CC,24,41,20352,10.000 ≤ hab < 100.000,contact@beaucevaldeloire.fr,02 54 81 40 80,http://www.beaucevaldeloire.fr
CC Beaujolais Pierres Dorées,200040574,CC,84,69,53111,10.000 ≤ hab < 100.000,contact@cc-pierresdorees.com,04 74 67 00 25,http://www.cc-pierresdorees.com
CC Berg et Coiron,240700815,CC,84,07,7841,3500 ≤ hab < 10.000,contact@bergetcoiron.fr,04 75 94 07 95,http://www.bergetcoiron.fr
CC Berry Grand Sud,200049484,CC,24,18,12264,10.000 ≤ hab < 100.000,contact@cdc-berry-grand-sud.fr,02 48 56 37 92,http://www.cdc-berry-grand-sud.fr
CC Berry Loire Puisaye,200068278,CC,24,45,18960,10.000 ≤ hab < 100.000,"accueil@valdesully.fr, contact@cc-berryloirepuisaye.fr","02 38 35 05 58, 02 38 37 03 84","http://www.valdesully.fr, http://www.cc-berryloirepuisaye.fr"
CC Berry-Loire-Vauvise,200032514,CC,24,18,5757,3500 ≤ hab < 10.000,cdc.berryloirevauvise@gmail.com,02 48 79 38 35,http://www.cdc-berryloirevauvise.fr
CC Bièvre Isère,200059392,CC,84,38,55571,10.000 ≤ hab < 100.000,contact@bievre-isere.com,04 76 93 51 46,http://www.bievre-isere.com
CC Billom Communauté,200067627,CC,84,63,26076,10.000 ≤ hab < 100.000,contact@billomcommunaute.fr,04 73 73 43 24,https://billomcommunaute.fr
CC Bouzonvillois-Trois Frontières,200067486,CC,44,57,25648,10.000 ≤ hab < 100.000,contact@ccb3f.fr,03 87 21 00 99,http://www.ccb3f.fr
CC Brenne - Val de Creuse,243600319,CC,24,36,18791,10.000 ≤ hab < 100.000,contact@cc-brennevaldecreuse.fr,02 54 28 33 60,http://www.cc-brennevaldecreuse.fr
CC Bresse et Saône,200071371,CC,84,01,25831,10.000 ≤ hab < 100.000,accueil@ccbresseetsaone.fr,03 85 36 37 18,http://www.ccbresseetsaone.fr
CC Bresse Haute Seille,200069615,CC,27,39,19367,10.000 ≤ hab < 100.000,accueil@bressehauteseille.fr,03 84 44 46 80,http://www.bressehauteseille.fr
